email,full_name,practice,level,location
reese.garcia@example.com,Reese Garcia,Frontend Engineering,L5,Poland
nico.brown@example.com,Nico Brown,Frontend Engineering,L3,Poland
casey.white@example.com,Casey White,Data Engineering,L5,Germany
sage.brown@example.com,Sage Brown,Platform Engineering,L7,Poland
blake.kim@example.com,Blake Kim,Data Engineering,L10,Germany
lennox.thomas@example.com,Lennox Thomas,Frontend Engineering,L6,United Kingdom
taylor.jones@example.com,Taylor Jones,Frontend Engineering,L9,Canada
rowan.chen@example.com,Rowan Chen,Data Engineering,L3,Poland
max.johnson@example.com,Max Johnson,ML Engineering,L2,Canada
avery.harris@example.com,Avery Harris,Backend Engineering,L7,Germany
